Generation,Average Fitness
1,15.09
2,15.64
3,14.86
4,14.64
5,14.75
6,14.87
7,14.63
8,15.04
9,14.85
10,15.07
11,15.31
12,15.34
13,15.41
14,15.64
15,15.65
16,15.87
17,16.09
18,15.97
19,16.6
20,16.8
21,17.18
22,16.77
23,16.58
24,16.23
25,15.85
26,15.7
27,15.87
28,16.12
29,16.25
30,16.6
31,16.61
32,16.51
33,16.7
34,16.73
35,16.65
36,16.89
37,16.99
38,17.27
39,17.54
40,17.44
41,16.57
42,16.75
43,16.93
44,17.47
45,17.84
46,17.77
47,18.35
48,18.26
49,17.59
50,17.92
51,17.6
52,18.03
53,17.79
54,17.92
55,18.21
56,17.92
57,17.77
58,17.35
59,17.81
60,18.19
61,17.79
62,17.89
63,18.31
64,18.82
65,18.6
66,18.34
67,18.27
68,18.6
69,19.05
70,19.36
71,19.14
72,18.88
73,18.94
74,19.28
75,19.25
76,19.32
77,19.52
78,19.62
79,19.93
80,20.14
81,19.8
82,19.32
83,19.67
84,18.91
85,18.75
86,18.36
87,18.22
88,18.54
89,18.5
90,18.53
91,18.46
92,18.62
93,18.76
94,19.08
95,19.06
96,19.09
97,18.96
98,18.8
99,19.2
100,19.19
