Generation,Average Fitness
1,15.43
2,16
3,15.72
4,15.72
5,15.31
6,15.95
7,16.64
8,17.02
9,16.67
10,16.26
11,16.4
12,16.91
13,17.14
14,17.37
15,17.37
16,17.4
17,17.77
18,17.56
19,17.87
20,18.1
21,17.73
22,17.56
23,17.39
24,17
25,17.67
26,17.79
27,17.47
28,17.08
29,16.93
30,16.6
31,16.39
32,16.87
33,17.13
34,17.21
35,17.13
36,17.07
37,17.2
38,17.27
39,17.12
40,17.44
41,17.58
42,18.37
43,18.09
44,17.77
45,18.04
46,17.75
47,17.6
48,17.19
49,16.79
50,16.91
51,17.05
52,17.05
53,17.07
54,17.44
55,18.15
56,18.63
57,18.51
58,18.52
59,18.43
60,18.4
61,18.6
62,18.06
63,18.36
64,18.37
65,18.38
66,18.48
67,18.62
68,18.21
69,17.93
70,17.84
71,17.67
72,17.65
73,17.88
74,17.6
75,17.31
76,16.85
77,17.16
78,17.12
79,16.97
80,16.78
81,17.24
82,17.37
83,17.32
84,17.01
85,17.29
86,17.28
87,17.43
88,17.05
89,17.41
90,17.33
91,17.53
92,17.33
93,17.45
94,17.48
95,17.43
96,17.38
97,17.54
98,17.29
99,17.3
100,17.51
